ID_Pedido,Fecha,Ciudad,Categoria,Producto,Precio_Unitario,Cantidad,Venta_Bruta,Coste_Unitario,Canal,Metodo_Pago,Score_Cliente
20105,2025-09-06,Zaragoza,Hogar,Espejo,729.39,2,1458.78,309.08,Tienda Física,Tarjeta,59
20106,2025-08-08,Zaragoza,Hogar,Silla Escritorio,96.37,4,385.48,54.79,Online,PayPal,75
20107,2025-10-07,Zaragoza,Deportes,Mancuernas,221.96,4,887.84,150.96,Online,PayPal,89
20108,2025-02-21,Barcelona,Deportes,Esterilla Yoga,354.58,3,1063.74,166.17,App,PayPal,99
20109,2025-11-05,Sevilla,Deportes,Balón,456.84,4,1827.36,313.95,App,Tarjeta,75
20110,2025-04-18,Sevilla,Hogar,Espejo,155.63,3,466.89,74.58,App,Efectivo,53
20111,2025-07-27,Valencia,Electrónica,Auriculares,459.66,5,2298.3,292.39,Tienda Física,PayPal,31
20112,2025-10-05,Sevilla,Electrónica,Tablet,677.13,1,677.13,375.79,App,Efectivo,20
20113,2025-11-14,Barcelona,Electrónica,Laptop,58.61,5,293.05,38.38,Tienda Física,Tarjeta,76
20114,2025-10-03,,Ropa,Pantalón,620.32,3,1860.96,429.03,Tienda Física,Efectivo,71
20115,2025-11-23,Valencia,Deportes,Bicicleta,727.14,1,727.14,471.13,App,Tarjeta,72
20116,2025-10-01,Madrid,Deportes,Bicicleta,624.69,2,,361.25,Online,Efectivo,74
20117,2025-04-07,Málaga,Deportes,Bicicleta,724.74,5,3623.7,432.51,Tienda Física,PayPal,5
20118,2025-03-11,Sevilla,Ropa,Pantalón,764.79,3,2294.37,344.79,Online,Tarjeta,95
20119,2025-08-30,Valencia,Hogar,Cafetera,662.43,1,662.43,436.02,Tienda Física,Tarjeta,96
20120,2025-11-03,Valencia,Electrónica,Laptop,409.65,5,2048.25,207.78,App,Tarjeta,64
20121,2025-10-22,Barcelona,Ropa,Zapatillas,577.33,5,2886.65,393.88,Online,Tarjeta,76
20122,2025-03-07,Zaragoza,Hogar,Lámpara,352.32,5,1761.6,179.24,Tienda Física,PayPal,79
20123,2025-04-07,Valencia,Deportes,Mancuernas,297.83,3,893.49,142.34,Tienda Física,Tarjeta,97
20124,2025-05-10,Málaga,Deportes,Bicicleta,256.28,2,512.56,125.71,Online,Tarjeta,45
20125,2025-01-31,Valencia,Deportes,Mancuernas,256.7,5,1283.5,139.15,Tienda Física,Tarjeta,63
20126,2025-07-12,Madrid,Ropa,Camiseta,683.73,1,683.73,472.26,Online,Efectivo,20
20127,2025-01-05,Madrid,Deportes,Mancuernas,505.1,2,1010.2,252.5,App,Efectivo,23
20128,2025-02-25,Sevilla,Deportes,Esterilla Yoga,640.28,5,3201.4,337.49,App,PayPal,88
20129,2025-02-19,Málaga,Deportes,Bicicleta,16.78,4,67.12,7.42,Online,Efectivo,74
20130,2025-01-08,Sevilla,Electrónica,Laptop,240.42,1,240.42,158.05,Tienda Física,Tarjeta,14
20131,2025-11-06,Madrid,Electrónica,Auriculares,546.98,5,2734.9,326.38,Tienda Física,Tarjeta,93
20132,2025-01-16,Barcelona,Hogar,Cafetera,481.89,2,963.78,313.9,App,Tarjeta,10
20133,2025-03-05,Valencia,Deportes,Bicicleta,290.08,1,290.08,158.01,Online,PayPal,43
20134,2025-11-08,Valencia,Hogar,Lámpara,586.8,1,586.8,398.22,Tienda Física,Efectivo,55
20135,2025-03-20,Málaga,Electrónica,Tablet,751.61,1,751.61,519.48,Tienda Física,PayPal,11
20136,2025-06-25,Sevilla,Electrónica,Auriculares,457.3,1,457.3,187.73,App,Tarjeta,92
20137,2025-07-23,Barcelona,Hogar,Espejo,730.32,3,2190.96,493.99,Online,Efectivo,44
20138,2025-05-15,Madrid,Hogar,Silla Escritorio,619.39,1,619.39,358.87,Tienda Física,Tarjeta,41
20139,2025-04-30,Barcelona,Hogar,Lámpara,64.15,2,128.3,44.12,Tienda Física,PayPal,15
20140,2025-10-03,Madrid,Ropa,Zapatillas,623.36,4,2493.44,434.8,Online,Tarjeta,21
20141,2025-08-15,,Ropa,Zapatillas,377.62,1,377.62,246.04,Online,Efectivo,85
20142,2025-11-29,Madrid,Ropa,Camiseta,390.29,4,1561.16,205.11,Online,Tarjeta,38
20143,2025-02-04,Valencia,Deportes,Mancuernas,340.67,2,681.34,137.4,Online,PayPal,18
20144,2025-02-26,Zaragoza,Deportes,Esterilla Yoga,325.72,1,325.72,171.74,App,PayPal,7
20145,2025-07-19,Barcelona,Ropa,Zapatillas,240.4,5,,122.8,Online,PayPal,48
20146,2025-10-23,Zaragoza,Electrónica,Smartphone,793.31,2,1586.62,411.62,Online,Efectivo,25
20147,2025-02-12,Málaga,Hogar,Silla Escritorio,340.46,4,1361.84,186.32,App,Tarjeta,30
20148,2025-01-29,Málaga,Deportes,Mancuernas,509.12,5,2545.6,226.23,Tienda Física,Tarjeta,77
20149,2025-01-08,Zaragoza,Ropa,Chaqueta,358.69,3,1076.07,221.35,App,PayPal,94
20150,2025-04-08,Madrid,Hogar,Silla Escritorio,303.45,2,606.9,142.31,App,Tarjeta,49
20151,2025-08-31,Madrid,Ropa,Pantalón,50.35,3,151.05,28.77,Online,Efectivo,26
20152,2025-07-18,Madrid,Hogar,Espejo,507.74,5,2538.7,239.22,Tienda Física,Efectivo,96
20153,2025-05-04,Sevilla,Electrónica,Laptop,621.39,2,1242.78,426.45,Tienda Física,Tarjeta,64
20154,2025-02-11,Málaga,Deportes,Esterilla Yoga,347.32,5,1736.6,216.05,Online,PayPal,9
20155,2025-07-22,Zaragoza,Deportes,Esterilla Yoga,445.77,2,891.54,291.7,App,Tarjeta,13
20156,2025-11-03,Zaragoza,Deportes,Balón,452.73,2,905.46,195.52,Online,Efectivo,4
20157,2025-01-02,Barcelona,Electrónica,Auriculares,390.59,2,781.18,255.92,Online,Tarjeta,20
20158,2025-06-06,Zaragoza,Ropa,Pantalón,560.12,1,560.12,292.75,App,Tarjeta,57
20159,2025-12-13,Sevilla,Hogar,Silla Escritorio,573.8,1,573.8,361.51,Tienda Física,Efectivo,47
20160,2025-02-03,Barcelona,Deportes,Balón,315.4,2,630.8,138.85,App,Tarjeta,16
20161,2025-03-11,Málaga,Deportes,Bicicleta,313.95,2,627.9,201.55,App,Tarjeta,53
20162,2025-08-13,Valencia,Electrónica,Smartphone,593.26,3,1779.78,398.14,App,Tarjeta,44
20163,2025-06-07,Zaragoza,Deportes,Esterilla Yoga,637.0,1,637.0,398.97,Tienda Física,Tarjeta,25
20164,2025-06-21,Madrid,Deportes,Esterilla Yoga,343.53,3,1030.59,183.07,Online,Efectivo,52
20165,2025-12-25,Sevilla,Electrónica,Laptop,633.66,2,1267.32,369.81,Tienda Física,Efectivo,94
20166,2025-12-26,Valencia,Hogar,Lámpara,708.08,2,1416.16,337.84,App,PayPal,29
20167,2025-02-26,Sevilla,Electrónica,Tablet,637.8,1,637.8,271.79,Tienda Física,Tarjeta,73
20168,2025-08-04,Valencia,Ropa,Pantalón,718.37,4,2873.48,444.33,App,Tarjeta,1
20169,2025-09-02,Zaragoza,Electrónica,Tablet,729.34,3,2188.02,408.85,Tienda Física,Tarjeta,90
20170,2025-12-31,Zaragoza,Electrónica,Auriculares,342.21,1,342.21,149.46,Online,Efectivo,23
20171,2025-12-24,Madrid,Deportes,Esterilla Yoga,430.18,1,,277.93,Online,PayPal,89
20172,2025-06-05,Madrid,Deportes,Balón,394.92,4,,223.46,App,Tarjeta,5
20173,2025-12-31,Madrid,Electrónica,Auriculares,693.59,5,3467.95,457.11,Tienda Física,PayPal,16
20174,2025-04-19,Barcelona,Electrónica,Tablet,683.9,2,1367.8,380.6,Tienda Física,Tarjeta,19
20175,2025-09-18,Zaragoza,Hogar,Silla Escritorio,352.97,5,1764.85,182.4,Online,Efectivo,13
20176,2025-04-14,Zaragoza,Hogar,Silla Escritorio,722.02,5,3610.1,370.16,App,Tarjeta,60
20177,2025-08-20,Madrid,Ropa,Pantalón,105.17,5,525.85,48.35,Online,Efectivo,60
20178,2025-08-16,Valencia,Hogar,Silla Escritorio,637.18,1,637.18,308.04,Online,PayPal,6
20179,2025-05-17,Zaragoza,Ropa,Camiseta,298.38,4,,142.65,Online,PayPal,81
20180,2025-06-12,Zaragoza,Deportes,Bicicleta,583.76,3,1751.28,325.62,App,Efectivo,31
20181,2025-11-18,Madrid,Hogar,Espejo,150.85,5,754.25,62.24,Tienda Física,Tarjeta,56
20182,2025-07-20,Madrid,Hogar,Espejo,450.21,2,900.42,206.7,Tienda Física,Tarjeta,68
20183,2025-07-20,Barcelona,Hogar,Silla Escritorio,346.61,3,1039.83,217.02,App,PayPal,98
20184,2025-02-14,Sevilla,Deportes,Bicicleta,514.62,5,2573.1,280.37,Tienda Física,Tarjeta,45
20185,2025-07-14,Málaga,Deportes,Esterilla Yoga,664.45,4,2657.8,420.39,Tienda Física,Tarjeta,1
20186,2025-03-22,Barcelona,Electrónica,Tablet,718.02,4,2872.08,301.74,Online,Efectivo,55
20187,2025-03-19,Málaga,Electrónica,Tablet,690.26,1,690.26,389.62,Tienda Física,Tarjeta,100
20188,2025-12-31,Barcelona,Deportes,Esterilla Yoga,190.62,1,190.62,92.97,Online,PayPal,23
20189,2025-09-17,Sevilla,Deportes,Bicicleta,787.77,4,3151.08,436.29,App,PayPal,69
20190,2025-02-15,Valencia,Hogar,Espejo,721.65,1,721.65,386.04,Online,Tarjeta,62
20191,2025-07-16,Málaga,Deportes,Bicicleta,676.23,4,2704.92,273.8,Tienda Física,Efectivo,50
20192,2025-04-30,Málaga,Hogar,Lámpara,419.63,4,1678.52,274.46,Tienda Física,Tarjeta,21
20193,2025-08-25,Valencia,Electrónica,Tablet,319.55,3,958.65,177.63,Online,PayPal,52
20194,2025-12-31,Zaragoza,Deportes,Bicicleta,458.76,5,2293.8,264.51,Online,Tarjeta,40
20195,2025-10-17,Málaga,Ropa,Chaqueta,381.86,5,1909.3,196.69,App,PayPal,96
20196,2025-12-31,Madrid,Deportes,Mancuernas,592.78,3,1778.34,393.11,App,PayPal,1
20197,2025-10-09,Zaragoza,Ropa,Chaqueta,770.32,5,3851.6,353.04,Online,Tarjeta,2
20198,2025-05-04,Zaragoza,Electrónica,Auriculares,723.71,4,2894.84,325.83,App,Tarjeta,84
20199,2025-04-28,Valencia,Hogar,Cafetera,787.94,4,3151.76,343.76,App,Tarjeta,97
20200,2025-08-14,Madrid,Ropa,Pantalón,640.47,4,2561.88,336.7,App,PayPal,24
20201,2025-02-14,Sevilla,Hogar,Lámpara,322.54,1,322.54,133.51,Online,Tarjeta,32
20202,2025-02-03,Zaragoza,Electrónica,Tablet,497.43,1,497.43,232.07,App,PayPal,84
20203,2025-08-06,Madrid,Electrónica,Tablet,729.13,5,3645.65,313.85,App,PayPal,88
20204,2025-10-19,Madrid,Hogar,Espejo,331.06,2,662.12,174.81,Tienda Física,Tarjeta,47
20205,2025-11-12,Málaga,Deportes,Mancuernas,640.62,3,1921.86,316.57,Online,Efectivo,45
20206,2025-10-13,Sevilla,Ropa,Camiseta,233.96,5,1169.8,157.04,App,PayPal,17
20207,2025-10-19,Valencia,Ropa,Pantalón,386.82,2,773.64,249.91,App,PayPal,70
20208,2025-11-23,Málaga,Deportes,Bicicleta,56.65,4,226.6,38.68,Online,Efectivo,100
20209,2025-04-04,Madrid,Electrónica,Smartphone,145.97,5,729.85,88.17,App,PayPal,14
20210,2025-01-21,Barcelona,Ropa,Camiseta,547.76,5,2738.8,333.05,Tienda Física,PayPal,76
20211,2025-12-31,Madrid,Ropa,Camiseta,136.01,5,680.05,83.91,App,Tarjeta,57
20212,2025-10-18,Sevilla,Deportes,Bicicleta,135.91,4,543.64,91.3,Online,Efectivo,34
20213,2025-11-20,Barcelona,Deportes,Mancuernas,728.31,5,3641.55,369.92,Online,Efectivo,41
20214,2025-03-05,Zaragoza,Electrónica,Smartphone,46.06,4,184.24,29.98,Tienda Física,Tarjeta,94
20215,2025-11-22,Barcelona,Hogar,Lámpara,662.94,4,2651.76,372.65,App,Tarjeta,62
20216,2025-10-11,Zaragoza,Electrónica,Smartphone,169.05,4,676.2,69.04,Tienda Física,PayPal,94
20217,2025-12-04,Valencia,Deportes,Balón,498.27,3,1494.81,322.04,Tienda Física,PayPal,69
20218,2025-07-26,Sevilla,Ropa,Chaqueta,54.43,5,272.15,36.42,Online,Tarjeta,7
20219,2025-05-19,Sevilla,Electrónica,Smartphone,193.71,2,387.42,114.1,App,PayPal,39
20220,2025-07-01,Zaragoza,Hogar,Silla Escritorio,429.84,5,2149.2,176.68,Tienda Física,Tarjeta,13
20221,2025-10-16,Barcelona,Deportes,Mancuernas,431.67,1,431.67,265.21,Tienda Física,PayPal,98
20222,2025-08-19,Zaragoza,Ropa,Zapatillas,595.76,2,1191.52,261.7,App,Tarjeta,20
20223,2025-02-13,Sevilla,Deportes,Mancuernas,59.56,4,238.24,32.32,App,Tarjeta,85
20224,2025-03-11,Valencia,Hogar,Cafetera,230.17,5,1150.85,146.73,Online,PayPal,41
20225,2025-04-21,Barcelona,Hogar,Cafetera,362.03,1,362.03,181.9,Tienda Física,Efectivo,23
20226,2025-11-24,Valencia,Deportes,Mancuernas,142.42,1,142.42,67.28,Tienda Física,Efectivo,61
20227,2025-07-27,Barcelona,Electrónica,Laptop,383.12,3,,223.12,Online,Efectivo,33
20228,2025-05-02,Málaga,Deportes,Balón,448.59,2,897.18,268.31,Online,PayPal,75
20229,2025-11-08,Málaga,Electrónica,Auriculares,660.23,1,660.23,343.56,Tienda Física,Efectivo,69
20230,2025-02-28,Málaga,Ropa,Chaqueta,629.04,5,3145.2,277.32,App,PayPal,94
20231,2025-12-09,Zaragoza,Hogar,Silla Escritorio,764.94,1,764.94,530.82,Tienda Física,Tarjeta,23
20232,2025-06-19,Valencia,Ropa,Zapatillas,108.49,4,433.96,51.53,Online,Efectivo,36
20233,2025-03-02,Zaragoza,Electrónica,Tablet,769.99,2,1539.98,474.35,Tienda Física,Efectivo,82
20234,2025-08-24,Zaragoza,Ropa,Chaqueta,255.73,4,1022.92,118.95,Tienda Física,PayPal,51
20235,2025-03-24,Madrid,Ropa,Pantalón,105.87,5,529.35,47.54,App,Tarjeta,25
20236,2025-06-06,Valencia,Ropa,Camiseta,377.38,3,1132.14,181.94,App,Tarjeta,9
20237,2025-11-01,Málaga,Deportes,Bicicleta,614.6,3,1843.8,327.95,App,PayPal,41
20238,2025-03-13,Valencia,Deportes,Balón,303.5,4,1214.0,198.75,Tienda Física,Tarjeta,20
20239,2025-04-17,Sevilla,Hogar,Silla Escritorio,419.27,1,419.27,202.93,Online,PayPal,73
20240,2025-12-25,Málaga,Electrónica,Smartphone,498.68,4,,334.14,App,Efectivo,96
20241,2025-06-20,Zaragoza,Hogar,Cafetera,176.21,4,704.84,116.48,Tienda Física,PayPal,44
20242,2025-02-07,Zaragoza,Hogar,Cafetera,235.29,3,,116.57,Online,Efectivo,6
20243,2025-09-08,Zaragoza,Ropa,Pantalón,161.16,1,161.16,90.5,App,PayPal,38
20244,2025-09-01,Málaga,Deportes,Mancuernas,748.59,4,2994.36,515.96,App,PayPal,95
20245,2025-05-06,Zaragoza,Deportes,Bicicleta,391.48,5,1957.4,207.11,App,Tarjeta,89
20246,2025-02-04,Valencia,Ropa,Chaqueta,33.57,2,67.14,16.4,Tienda Física,Tarjeta,86
20247,2025-11-07,Madrid,Deportes,Balón,257.01,1,257.01,130.62,Tienda Física,Tarjeta,98
20248,2025-09-16,Zaragoza,Ropa,Camiseta,77.1,5,385.5,38.12,Tienda Física,Tarjeta,29
20249,2025-05-28,Zaragoza,Electrónica,Laptop,486.38,5,2431.9,223.34,App,PayPal,82
20250,2025-10-05,Barcelona,Electrónica,Tablet,68.95,5,344.75,34.35,App,PayPal,82
20251,2025-12-31,Valencia,Electrónica,Laptop,450.17,2,900.34,211.37,Tienda Física,PayPal,77
20252,2025-05-28,Barcelona,Hogar,Silla Escritorio,15.3,2,30.6,10.38,Tienda Física,Efectivo,24
20253,2025-06-15,Málaga,Hogar,Espejo,618.77,4,2475.08,265.56,Online,Tarjeta,84
20254,2025-04-28,Valencia,Ropa,Chaqueta,626.41,5,3132.05,355.95,App,PayPal,94
20255,2025-02-27,Zaragoza,Ropa,Pantalón,610.48,4,2441.92,341.0,Tienda Física,Efectivo,98
